Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,25.309999,25.320000,24.500000,24.879999,18.146601,27242159
2018-11-01,24.900000,24.990000,24.219999,24.730000,18.240324,7841467
2018-12-01,24.870001,25.030001,24.325001,25.030001,18.461603,6554682
2019-01-01,25.030001,25.870001,24.680000,24.900000,18.365717,11130199
2019-02-01,25.020000,25.740000,24.969999,25.389999,18.996325,8064784
2019-03-01,25.500000,26.450001,25.400000,25.730000,19.250706,8734376
2019-04-01,25.820000,26.770000,25.730000,26.510000,19.834288,6777926
2019-05-01,26.280001,26.530001,26.000000,26.330000,19.699612,4395474
2019-06-01,26.530001,26.980000,26.320000,26.920000,20.417833,3322918
2019-07-01,27.000000,27.840000,26.681299,27.709999,21.017012,3120563
2019-08-01,27.320000,28.160000,26.969000,27.750000,21.047356,3333271
2019-09-01,27.750000,27.950001,27.240000,27.450001,21.093382,4654757
2019-10-01,27.469999,27.879999,27.170000,27.200001,20.901270,3617417
2019-11-01,27.219999,27.250000,26.540001,26.820000,20.880957,2582179
2019-12-01,26.799999,27.459999,26.572701,27.330000,21.278025,2746296
2020-01-01,27.330000,27.730000,27.219999,27.459999,21.379238,3157873
2020-02-01,27.400000,27.799999,26.330000,26.520000,20.919680,2251870
2020-03-01,26.709999,27.529900,22.000000,25.350000,19.996756,13113697
2020-04-01,25.000000,26.719900,24.580000,26.650000,21.022230,8093799
2020-05-01,26.260000,27.000000,25.940001,26.940001,21.250992,3269052
2020-06-01,27.000000,27.350000,26.350000,26.420000,21.125681,3507824
2020-07-01,26.510000,28.375299,26.510000,27.879999,22.293108,3009923
2020-08-01,27.850000,27.924999,27.340000,27.370001,22.167812,2310785
2020-09-01,27.459999,27.870001,27.100000,27.309999,22.119219,2117347
2020-10-01,27.490000,28.111601,26.860001,27.090000,21.941029,2103635
2020-11-01,27.180000,28.267000,27.090000,27.719999,22.750776,1868778
2020-12-01,27.840000,28.280001,27.620001,28.100000,23.062656,1890987
2021-01-01,28.100000,28.750000,26.740000,27.049999,22.200884,2699999
2021-02-01,27.090000,27.195000,26.190001,26.490000,22.031075,2506091
2021-03-01,26.510000,27.420000,26.410000,27.110001,22.546713,2314530
2021-04-01,27.180000,27.930000,27.150000,27.180000,22.604931,1871379
2021-05-01,27.230000,27.530001,26.799999,27.360001,23.053513,1982407
2021-06-01,27.490000,28.270000,27.360001,28.250000,23.803421,2931571
2021-07-01,28.180000,28.490000,27.139999,27.280001,22.986099,2835948
2021-08-01,27.299999,27.469999,26.860001,27.020000,23.068598,2804682
2021-09-01,27.100000,27.670000,26.920000,27.309999,23.316191,1807757
2021-10-01,27.330000,27.820000,26.906000,27.250000,23.264963,2335083
2021-11-01,27.290001,27.580000,26.200001,26.600000,23.008310,2210161
2021-12-01,26.770000,26.950001,26.400000,26.879999,23.250504,2026916
2022-01-01,26.850000,27.090000,25.860001,26.260000,22.714220,2483712
2022-02-01,26.260000,26.389999,25.020000,26.170000,22.948050,3283373
2022-03-01,26.129999,26.230000,25.150000,25.690001,22.527145,2674088
2022-04-01,25.639999,25.794001,24.510000,24.549999,21.527493,4290104
2022-05-01,24.410000,25.549999,23.309999,25.400000,22.596638,5987216
2022-06-01,25.500000,25.500000,23.700100,24.910000,22.160719,3856129
2022-07-01,24.969999,25.750000,24.900000,25.580000,22.756773,2420340
2022-08-01,25.320000,25.750000,24.180000,24.709999,21.982792,2442494
2022-09-01,24.680000,25.020000,24.129999,24.709999,22.296030,3010478
2022-10-01,24.780001,25.040001,23.070000,23.170000,20.906477,3734310
2022-11-01,23.340000,24.690001,22.670099,24.549999,22.491707,3252225
2022-12-01,24.660000,24.950001,23.100000,23.389999,21.428965,3553530
2023-01-01,23.590000,25.309999,23.520000,24.980000,22.885658,3722316
2023-02-01,24.900000,25.200001,24.420000,24.840000,23.087963,2026981
2023-03-01,24.969999,24.980000,23.610001,24.910000,23.153027,3951406
2023-04-01,24.860001,25.590000,24.787001,25.209999,23.431870,2414786
2023-05-01,24.980000,25.080000,24.299999,24.700001,22.957840,2114045
2023-06-01,24.910000,25.200001,24.650000,25.139999,23.704721,2077370
